feature_a,feature_b,pearson_corr
climatology_tmax_p10_doy_plus1,tmean_ma3_completed,0.9284996693653947
MA_Tmax_3d_asof_23h,tmean_ma14_completed,0.9282065175788532
tmin_lag1,tmax_ma14_completed,0.9278529763832282
climatology_tmax_doy_plus1,tmin_ma3_completed,0.9275743954623871
climatology_tmax_p10_doy,Temp_23h_ma3,0.9275060080127628
climatology_tmax_p10_doy_plus1,tmin_ma3_completed,0.9272575379069316
climatology_tmax_doy_plus1,Temp_23h_ma3,0.9271804041269303
Td_mean_last_6h,td_ma3,0.9270077103210296
climatology_tmax_p10_doy_plus1,Temp_23h_ma3,0.9260987373060857
Tmax_so_far_23h_x,tmean_lag1,0.9260217075683681
Tmean_so_far_23h_x,tmean_ma3_completed,0.9255915039199781
tmax_max7_completed,tmin_ma3_completed,0.9252253721624913
Tmean_so_far_23h_x,Td_max_00_23h_x,0.9250867975351834
tmin_lag7,tmax_ma7_completed,0.9245021027706051
climatology_tmax_p90_doy,tmean_ma3_completed,0.9242503436950967
tmax_lag7,tmax_ma14_completed,0.9242248400075846
tmean_lag1,tmax_ma14_completed,0.9240994030501295
Tmin_so_far_23h_x,Td_max_00_23h_x,0.9240922006010408
Temp_12h_x,tmean_lag1,0.9240460396513135
tmax_lag1,tmean_lag2,0.9240410468144572
tmax_lag2,tmean_lag3,0.9240376274849836
MA_Tmax_3d_asof_23h,tmax_max7_completed,0.9239399403643649
Tmin_so_far_23h_x,tmean_ma7,0.923437162432615
climatology_tmean_doy_plus1,tmax_ma3_completed,0.9233213015917346
climatology_tmin_doy_plus1,tmax_ma3_completed,0.9232827075491463
climatology_tmax_doy,tmax_ma3_completed,0.9230962407446599
Td_23h_x,td_ma3,0.9229715355076823
MA_Tmax_3d_asof_23h,climatology_tmean_doy_plus1,0.9229099792275045
tmax_lag7,tmean_ma7,0.9228534257120096
MA_Tmax_3d_asof_23h,climatology_tmax_doy,0.9228408995450744
MA_Tmax_3d_asof_23h,climatology_tmin_doy_plus1,0.9224417214464665
tmin_lag7,tmax_min7_completed,0.92206344783347
climatology_tmax_doy_plus1,tmax_ma3_completed,0.9220400639973243
MA_Tmax_3d_asof_23h,climatology_tmax_doy_plus1,0.9220308443216095
tmax_lag7,tmean_ma14_completed,0.9219682082664913
Tmean_so_far_23h_x,tmin_ma3_completed,0.9218548423242299
Td_23h_x,Td_max_00_23h_x,0.9218530541783845
Temp_06h_x,tmean_ma3_completed,0.9218110679589807
climatology_tmax_p90_doy_plus1,tmean_ma3_completed,0.9217757767253596
Tmin_so_far_23h_x,tmax_ma3_completed,0.9217646294228514
climatology_tmax_p90_doy,Temp_23h_ma3,0.9215646044218262
tmean_lag1,tmean_ma14_completed,0.9214999989290368
Tmin_so_far_23h_x,tmin_ma7_completed,0.9214546527269674
tmax_lag7,tmax_ma7_completed,0.9213639788922082
tmax_lag1,tmax_ma7_completed,0.9213412379903104
climatology_tmax_p90_doy,tmin_ma3_completed,0.9208993115478673
climatology_tmax_p10_doy,tmax_ma3_completed,0.9207709895009115
Temp_06h_x,tmin_ma3_completed,0.92075709101778
tmax_lag2,tmin_ma7_completed,0.9206632217268527
MA_Tmax_3d_asof_23h,climatology_tmax_p10_doy,0.9205219351035171
climatology_tmax_p10_doy_plus1,tmax_ma3_completed,0.9200776955834049
MA_Tmax_3d_asof_23h,climatology_tmax_p10_doy_plus1,0.9199823378960025
tmax_min7_completed,tmax_max7_completed,0.9199628973414724
tmean_lag3,tmax_max7_completed,0.9199159203122571
